trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,-42.72846528710534,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-192.2780118341372,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-136.26683704880313,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-114.67827798117828,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,6,-118.53896568452097,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-15.583780570836728,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-62.43669710054746,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-89.8871379781964,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-104.42282531914961,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-21.66325829699824,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-137.33870697858555,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-47.52987093324281,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,5,-122.4611427683518,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,6.301178440446195,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-70.08022695218764,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-42.71979329156894,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,15.712207164574131,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-66.91537558653805,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-26.266972543070374,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,0.41370751364751523,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,-25.36988487073197,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,8,-1.7761046592527812,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,7,30.60320765151923,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,-43.450369560461205,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,9.841008375413958,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,9,-27.683427153180222,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,6,-31.189183102039877,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,3,-51.80651406824494,"{0: 24, 1: 0, 2: 0, 3: 2, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,16,14.059563819195976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,2,-105.49207190626522,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 3}",1
