trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.3610497340021,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99940017996400543}",20,0,-214.82499074035306,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.99880071971208639}",25,0,-41.81309838221098,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.99820161902843729}",20,0,-50.29194801928346,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.99760287769738176}",30,0,-76.06381103480173,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.997004495503373}",35,21,-18.790177806808124,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.99640647223099332}",20,0,-47.44943759396043,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9958088076649545}",20,0,-76.15981152213361,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.99521150159009719}",30,0,-207.50911020086014,"{0: 17, 1: 6, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.99461455379139119}",20,0,-102.74569421905416,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.99401796405393528}",25,0,-125.01133111534104,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99342173216295715}",25,4,-68.15056092286014,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.99282585790381339}",25,0,-133.81469050245965,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.99223034106198915}",25,0,-76.3049300378896,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.99163518142309837}",30,0,-136.1547111461862,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.99104037877288365}",20,0,-63.34846996056376,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.99044593289721605}",30,0,-169.84196803646176,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.98985184358209488}",25,0,-59.57108872303394,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.98925811061364821}",20,0,-86.5330510428488,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98866473377813191}",20,0,-101.03919282411381,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.98807171286193052}",25,6,-74.03542562922058,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.98747904765155647}",20,0,-60.55353653965295,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.98688673793365023}",20,0,-113.04000773308697,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.98629478349498023}",20,0,-83.3738552326458,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.98570318412244295}",35,0,-261.03033557741844,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.98511193960306265}",25,16,-109.87412707576674,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 3}",1
27,False,"{'a': 0.5, 'e': 0.98452104972399124}",20,0,-80.05371781743585,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.98393051427250833}",25,0,-104.18224273154775,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9833403330360212}",20,0,-18.24018830350199,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.98275050580206458}",20,0,-50.54411058506079,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.98216103235830077}",25,0,-152.08693777988654,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.98157191249251907}",20,0,-129.4975612990225,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.98098314599263647}",30,0,-200.65621657007208,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.98039473264669708}",30,0,-135.56239822860343,"{0: 14, 1: 5, 2: 9, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9798066722428721}",30,0,-155.48107918028285,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.97921896456945956}",25,0,-90.49963364000685,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.97863160941488492}",25,0,-111.06878611902708,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9780446065677002}",20,0,-11.143491864071855,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.97745795581658446}",20,0,-79.83437736342023,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.97687165695034339}",30,0,-100.70459336798362,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.97628570975790929}",20,0,-96.07069954488608,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.97570011402834134}",20,0,-51.37648869410394,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.97511486955082494}",25,0,-130.02387534656438,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
