trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.00105919427088,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-165.05269497175863,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,10,-121.20502083658569,"{0: 9, 1: 2, 2: 5, 3: 4, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.36777957660319,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.0253875164983,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-82.82939365158961,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.95227570640668,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,14,-138.4054619130471,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.86137955337202,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.4591148762366,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.6162921133657,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.50410201508464,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.8845496471191,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.89086402043847,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,11,-59.36868906763171,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.6632738413158,"{0: 14, 1: 6, 2: 4, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.83619424196843,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.15505335576262,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.78668559547054,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.56496041141189,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.49974230516423,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.76520865061372,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-235.90382520385262,"{0: 12, 1: 2, 2: 12, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.18507153905728,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.99034533874489,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-198.0722033394737,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.44899014021144,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-201.35429005240456,"{0: 19, 1: 4, 2: 8, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.71344195949256,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-165.78516618927097,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
